order_item_id,order_id,product_id,quantity
1,1317,5,2
2,1324,44,3
3,1117,48,1
4,1223,7,1
5,1228,11,3
6,1463,2,1
7,1167,4,3
8,1184,24,4
9,1075,16,5
10,1211,37,2
11,1088,12,1
12,1313,25,5
13,1350,16,4
14,1468,38,2
15,1119,30,3
16,1236,17,1
17,1461,30,3
18,1347,35,2
19,1038,29,3
20,1301,20,4
21,1354,17,4
22,1433,20,2
23,1197,31,1
24,1122,25,5
25,1184,37,3
26,1359,19,1
27,1425,43,4
28,1141,1,5
29,1443,44,1
30,1467,39,4
31,1427,19,2
32,1311,23,2
33,1326,13,5
34,1129,44,2
35,1322,7,1
36,1159,29,1
37,1297,24,2
38,1047,19,3
39,1383,27,2
40,1103,9,5
41,1449,24,5
42,1257,18,2
43,1132,31,3
44,1383,22,1
45,1240,5,2
46,1387,15,4
47,1496,36,3
48,1047,26,1
49,1136,35,1
50,1233,24,3
51,1300,25,3
52,1056,44,2
53,1242,2,5
54,1453,36,3
55,1469,40,2
56,1332,5,4
57,1466,45,3
58,1333,27,1
59,1072,3,1
60,1156,32,1
61,1050,16,5
62,1070,25,4
63,1190,43,5
64,1215,38,2
65,1454,27,1
66,1427,32,5
67,1209,18,1
68,1354,24,2
69,1228,29,2
70,1438,24,1
71,1352,24,5
72,1462,42,3
73,1032,26,3
74,1098,8,4
75,1047,43,2
76,1329,41,5
77,1498,2,1
78,1403,22,2
79,1065,37,2
80,1036,49,5
81,1107,38,2
82,1417,15,3
83,1397,10,5
84,1002,18,2
85,1067,35,3
86,1409,12,1
87,1339,2,2
88,1008,23,2
89,1302,21,1
90,1090,17,1
91,1065,48,4
92,1270,8,1
93,1244,29,3
94,1263,38,1
95,1232,33,2
96,1485,40,1
97,1373,43,5
98,1155,30,1
99,1032,31,4
100,1219,44,1
101,1252,46,4
102,1038,6,3
103,1312,10,1
104,1065,18,5
105,1325,38,5
106,1365,21,4
107,1306,34,3
108,1233,33,5
109,1221,7,1
110,1437,42,5
111,1370,14,4
112,1232,15,4
113,1174,30,4
114,1213,47,1
115,1161,28,3
116,1341,17,3
117,1489,10,4
118,1035,6,1
119,1048,28,1
120,1382,48,3
121,1416,9,5
122,1031,38,5
123,1288,22,1
124,1211,23,4
125,1445,47,1
126,1496,19,5
127,1160,23,1
128,1296,33,2
129,1080,43,4
130,1115,7,3
131,1433,36,3
132,1059,49,3
133,1294,15,4
134,1433,36,5
135,1315,44,5
136,1014,39,3
137,1015,12,3
138,1360,49,3
139,1472,22,3
140,1004,12,2
141,1290,43,4
142,1036,10,1
143,1047,48,5
144,1111,25,4
145,1233,22,2
146,1190,20,3
147,1398,37,5
148,1044,4,2
149,1081,49,5
150,1026,44,1
151,1140,29,4
152,1249,39,4
153,1213,18,2
154,1387,33,1
155,1177,28,1
156,1146,44,5
157,1250,34,3
158,1024,15,4
159,1307,4,1
160,1105,20,2
161,1393,9,3
162,1149,21,1
163,1004,32,4
164,1090,9,4
165,1273,46,2
166,1257,36,3
167,1037,26,1
168,1224,2,4
169,1472,5,3
170,1295,28,5
171,1208,46,4
172,1149,8,4
173,1011,21,2
174,1411,40,4
175,1426,45,3
176,1046,28,1
177,1125,28,5
178,1206,34,1
179,1203,20,3
180,1114,22,2
181,1040,33,1
182,1272,33,2
183,1464,50,3
184,1180,47,2
185,1121,7,2
186,1132,13,2
187,1309,10,1
188,1091,50,4
189,1238,49,5
190,1390,38,4
191,1349,37,5
192,1166,41,3
193,1078,29,1
194,1241,29,3
