order_id,customer_id,order_date,total_amount
1001,167,2026-06-30,71855
1002,4,2025-09-21,13224
1003,193,2026-05-06,31982
1004,43,2026-05-24,54269
1005,125,2025-08-04,64092
1006,55,2026-06-11,53565
1007,16,2026-04-11,22579
1008,98,2025-10-19,1282
1009,100,2025-10-01,35760
1010,117,2026-02-13,38388
1011,109,2025-12-22,92303
1012,188,2026-03-28,73845
1013,170,2026-05-03,95163
1014,125,2026-02-22,21289
1015,49,2025-10-28,39890
1016,56,2025-09-28,8665
1017,149,2025-12-19,97434
1018,139,2026-05-30,8989
1019,192,2026-03-11,42104
1020,15,2026-03-29,7572
1021,150,2026-04-03,63493
1022,129,2026-06-07,70615
1023,41,2026-06-22,8455
1024,131,2025-11-23,11500
1025,48,2026-03-13,9981
1026,153,2025-09-16,9907
1027,173,2025-08-03,31828
1028,104,2025-10-08,16713
1029,146,2026-07-12,33271
1030,149,2025-12-15,78924
1031,11,2026-01-24,82183
1032,21,2026-04-20,55948
1033,169,2025-12-31,77503
1034,145,2025-10-09,69522
1035,81,2026-04-24,35179
1036,53,2026-06-15,88782
1037,184,2025-11-17,42180
1038,62,2025-10-13,35814
1039,102,2026-02-24,18154
1040,172,2026-02-20,85607
1041,77,2026-02-13,60929
1042,81,2025-09-16,99548
1043,19,2025-09-03,2220
1044,118,2026-02-03,82416
1045,145,2026-01-14,14104
1046,19,2026-06-13,71468
1047,55,2026-02-22,67307
1048,68,2026-07-19,18361
1049,90,2025-11-20,10016
1050,63,2026-04-05,49434
1051,73,2026-05-10,21676
1052,113,2025-12-11,72200
1053,181,2025-12-12,40651
1054,157,2026-03-21,86717
1055,136,2025-12-13,2025
1056,171,2026-06-25,73692
1057,77,2026-07-19,87951
1058,27,2025-10-11,18601
1059,68,2026-05-09,16129
1060,28,2026-05-25,98310
1061,142,2025-12-25,21374
1062,70,2026-06-24,37930
1063,155,2026-01-10,28607
1064,184,2026-03-28,45942
1065,53,2025-10-08,91111
1066,163,2026-05-18,35600
1067,130,2026-01-28,65032
1068,65,2026-04-30,7658
1069,24,2026-04-01,84136
1070,109,2025-11-04,37265
1071,12,2026-03-13,1464
1072,86,2025-09-16,18146
1073,164,2025-08-14,35335
1074,42,2026-04-23,98154
1075,114,2025-08-20,73309
1076,181,2026-07-20,57057
1077,144,2025-10-02,2267
1078,29,2026-02-02,10862
1079,177,2025-10-02,20536
1080,140,2026-06-11,5722
1081,95,2026-03-11,77350
1082,142,2026-07-20,20410
1083,111,2026-03-01,17704
1084,11,2025-09-20,41404
1085,94,2026-02-03,6229
1086,92,2025-12-21,28535
1087,175,2026-06-09,33706
1088,171,2025-09-13,14473
